epoch,acc,loss,val_acc,val_loss
0,0.7107499998410542,1.2968246914545696,0.7,1.2919965515136718
1,0.825083333492279,1.1409225171407065,0.717,1.3105755767822265
2,0.8526666668256124,1.0865149869918824,0.73475,1.3135261287689208
3,0.86525,1.0577512302398682,0.709,1.437473406791687
4,0.8746666666666667,1.036628953297933,0.73525,1.3591088190078735
5,0.8824166666666666,1.019233842055003,0.754,1.2847655420303346
6,0.8923333334922791,1.002304063796997,0.7905,1.1978502426147462
7,0.8978333333333334,0.9884110504786173,0.8075,1.172371506690979
8,0.9051666668256124,0.9722757689158121,0.796,1.2059423651695251
9,0.91625,0.9560528682072957,0.72875,1.4431369590759278
10,0.9191666666666667,0.9431263505617777,0.76675,1.279680109024048
11,0.9303333333333333,0.9253298207918803,0.84025,1.1130689916610719
12,0.9381666666666667,0.9083828132947286,0.78475,1.2485414800643921
13,0.9482500001589457,0.889220758120219,0.75625,1.371212893486023
14,0.9540833333333333,0.8764151829083761,0.79225,1.2607702045440674
15,0.9644166668256123,0.8549976887702941,0.7945,1.2664381284713746
16,0.9718333334922791,0.8409737054506937,0.834,1.180219298362732
17,0.9762499998410543,0.824068768342336,0.76625,1.4094073009490966
18,0.9839166665077209,0.8090652872721354,0.767,1.4406535310745239
19,0.9881666665077209,0.7949504356384277,0.76375,1.4521528167724609
20,0.9931666665077209,0.7836910791397095,0.7655,1.4854898815155029
21,0.99325,0.7770576518376668,0.75675,1.600640336036682
22,0.9962499998410543,0.7675010466575622,0.74575,1.6915431060791015
23,0.9973333333333333,0.7631432332992554,0.79375,1.4288223161697389
24,0.9985833333333334,0.7566499821345012,0.7965,1.4324957990646363
25,0.9991666666666666,0.7530121771494548,0.7295,1.9273336238861083
26,0.9990833333333333,0.7495513593355815,0.777,1.5836829614639283
27,0.9995,0.7479949517250061,0.755,1.722512619972229
28,0.9996666666666667,0.7456524098714192,0.73725,1.9193611001968385
29,0.9998333333333334,0.7434041948318482,0.7675,1.7034566707611083
30,0.9995,0.7421584898630778,0.76175,1.742875425338745
31,0.9998333333333334,0.7414812404314677,0.7285,2.060444190979004
32,0.9998333333333334,0.7405165208180745,0.7365,1.9961182899475098
33,0.9995833333333334,0.7397763843536377,0.7595,1.8096135749816895
34,0.9999166666666667,0.7383081889152527,0.7715,1.761986738204956
35,1.0,0.7380445772806803,0.74825,1.9475303802490234
36,1.0,0.7367586480776469,0.7495,1.954303813934326
37,1.0,0.7361290596326192,0.75625,1.8985865106582642
38,1.0,0.7359053994814555,0.76175,1.878576865196228
39,1.0,0.7348452456792196,0.75125,1.971259656906128
40,1.0,0.7342146061261495,0.74225,2.0843461923599245
41,1.0,0.7336236100196838,0.76225,1.9063900718688964
42,1.0,0.7332082624435425,0.77475,1.7921855449676514
43,1.0,0.7330832142829895,0.74575,2.0290722408294677
44,1.0,0.7326236165364584,0.76625,1.897569938659668
45,0.9999166666666667,0.7325909452438355,0.7675,1.9093416233062743
46,1.0,0.7317645381291707,0.7565,1.9781926164627075
47,1.0,0.7319473110834758,0.74825,2.0457564306259157
48,1.0,0.7311666822433471,0.759,1.9915294246673585
49,1.0,0.7302837615013122,0.75575,2.0101488428115846
50,1.0,0.7301374527613322,0.76075,1.98128875541687
51,1.0,0.7300678970019022,0.752,2.0229341077804563
52,0.9998333333333334,0.730214647769928,0.7685,1.9134759340286256
53,0.9998333333333334,0.7293974038759867,0.74125,2.164271101951599
54,1.0,0.7290644000371297,0.7705,1.8913469285964966
55,1.0,0.7284848416646321,0.7825,1.8209531183242798
56,1.0,0.7283006165822347,0.77025,1.9246551589965821
57,1.0,0.7279084440867106,0.75775,2.0487874307632445
58,1.0,0.7275972504615784,0.75325,2.092992781639099
59,1.0,0.7271314964294434,0.764,1.9910692205429077
60,1.0,0.7268432100613912,0.754,2.0856533937454222
61,1.0,0.7266024711926778,0.76425,1.998794734954834
62,1.0,0.7262069101333618,0.7605,2.0381828184127806
63,1.0,0.7258926035563151,0.75975,2.053892580986023
64,1.0,0.72574760166804,0.74125,2.227645034790039
65,1.0,0.7254167027473449,0.752,2.1229372997283935
66,1.0,0.7249624778429667,0.759,2.0611965293884276
67,1.0,0.7247621660232544,0.788,1.8307593812942504
68,1.0,0.7244694477717082,0.759,2.076467632293701
69,1.0,0.7241529688835144,0.76475,2.017860091209412
70,1.0,0.7237823883692424,0.76075,2.07866321182251
71,1.0,0.7234992125829061,0.771,1.9902183303833008
72,1.0,0.7232959214846293,0.74375,2.215454461097717
73,1.0,0.7230760451952616,0.76675,1.9913271169662476
74,1.0,0.7228769303957622,0.763,2.047120635986328
75,1.0,0.7224945071538289,0.7595,2.093236812591553
76,1.0,0.7222350562413533,0.76,2.0783850603103637
77,1.0,0.7217715237935384,0.757,2.104292797088623
78,0.9999166666666667,0.7219021937052409,0.73775,2.361682155609131
79,1.0,0.7213220445315043,0.75,2.236515978813171
80,1.0,0.721021115620931,0.7595,2.114113056182861
81,1.0,0.7206309248606364,0.76025,2.1151489324569703
82,1.0,0.7204904012680053,0.772,1.994181562423706
83,1.0,0.7200580921173095,0.756,2.161927129745483
84,1.0,0.7198429171244304,0.7535,2.160155445098877
85,0.9999166666666667,0.7198747525215149,0.76,2.082179063796997
86,1.0,0.7193822334607443,0.757,2.1306079540252685
87,1.0,0.7189009302457173,0.767,2.073165754318237
88,1.0,0.718750841140747,0.76,2.138709698677063
89,1.0,0.7182879473368327,0.75375,2.2000632247924803
90,1.0,0.7182142475446065,0.75975,2.1376557903289797
91,1.0,0.7178200647036235,0.751,2.203512076377869
92,1.0,0.7176876228650411,0.754,2.18127543258667
93,1.0,0.7173013027509053,0.75725,2.1639240341186525
94,1.0,0.7170144305229187,0.761,2.1170585088729856
95,1.0,0.716686623096466,0.76125,2.135044249534607
96,1.0,0.7164804472923278,0.753,2.187017286300659
97,1.0,0.7162433897654216,0.76025,2.144057415008545
98,1.0,0.7158761134147644,0.75575,2.204225359916687
99,1.0,0.7156146098772684,0.751,2.259504556655884
